data0x03,data0x04,data0x05,data0x06,data0x07,data0x0b,data0x0c,data0x0d,data0x0e,data0x0f,data0x11,data0x14,extra0x14,data0x015,beahavior
2,2.745098,63,8.59375,99.21875,46,854,1,-47.0,33.0,6.2745098,0.88,-10.15625,0.5,safe
2,4.7058824,63,-10.9375,66.40625,51,904,5,-47.0,33.0,6.2745098,0.13,1.5625,0.47,safe
2,7.8431372999999995,63,-11.71875,88.28125,52,1237,7,-41.5,33.0,5.4901960999999995,0.105,2.34375,0.41,safe
2,7.8431372999999995,64,7.8125,99.21875,35,1563,8,-42.5,33.0,5.8823529,0.975,9.375,0.535,safe
2,4.7058824,64,0.78125,75.78125,52,1050,11,63.0,33.0,5.0980392,0.145,-0.78125,0.49,safe
2,3.9215686,64,7.03125,99.21875,44,900,7,-54.0,33.0,3.9215686,0.145,7.03125,0.48,safe
2,2.745098,64,-2.34375,99.21875,41,860,4,-55.0,33.0,3.5294117999999997,0.375,7.03125,0.485,safe
2,7.8431372999999995,67,20.3125,83.59375,49,1053,6,-56.0,33.0,7.8431372999999995,0.64,13.28125,0.535,safe
2,8.627450999999999,67,2.34375,99.21875,40,1817,10,-30.5,33.0,3.5294117999999997,0.075,0.0,0.545,safe
4,5.8823529,67,-3.125,96.09375,46,1146,12,-29.5,33.0,7.8431372999999995,0.1,-4.6875,0.51,safe
2,8.627450999999999,68,-14.0625,45.3125,55,1617,17,-37.0,33.0,10.980392,0.735,8.59375,0.52,safe
2,11.764706,68,5.46875,71.875,50,2031,22,-29.0,33.0,6.2745098,0.1,0.0,0.515,safe
4,9.8039216,68,-2.34375,15.625,56,1477,23,-33.0,33.0,8.627450999999999,0.115,7.03125,0.525,safe
2,8.627450999999999,68,-3.90625,89.0625,48,1590,25,-33.0,33.0,9.019607800000001,0.135,-8.59375,0.53,safe
2,8.627450999999999,69,-11.71875,98.4375,42,1709,26,-29.5,33.0,7.8431372999999995,0.74,-14.0625,0.535,safe
2,6.6666667,69,8.59375,93.75,33,1682,26,-34.5,33.0,2.3529412,0.425,-17.1875,0.54,safe
2,2.745098,69,9.375,99.21875,29,1499,23,53.0,33.0,4.313725499999999,0.07,17.96875,0.56,safe
2,3.9215686,70,36.71875,99.21875,38,1182,18,-39.0,34.0,12.156863000000001,0.965,27.34375,0.635,safe
2,10.980392,70,16.40625,-5.46875,68,1367,21,-37.5,34.0,9.411764699999999,0.91,19.53125,0.6,safe
2,8.627450999999999,70,6.25,41.40625,55,1514,24,-36.0,34.0,9.8039216,0.315,-14.84375,0.61,safe
2,9.8039216,71,-10.15625,82.8125,50,1659,26,-32.0,34.0,7.450980400000001,0.11,-1.5625,0.62,safe
2,6.6666667,71,7.03125,99.21875,38,1659,26,-28.0,33.0,7.0588235,0.93,-17.1875,0.655,safe
2,6.6666667,71,-31.25,99.21875,37,1639,25,-25.5,33.0,6.6666667,0.19,-31.25,0.665,safe
2,6.6666667,72,-37.5,98.4375,31,1575,25,-44.0,33.0,5.4901960999999995,0.075,-35.15625,0.67,safe
2,4.7058824,72,-12.5,99.21875,31,1354,21,53.0,33.0,4.313725499999999,0.065,20.3125,0.665,safe
2,3.9215686,72,37.5,99.21875,33,920,17,-45.5,34.0,3.1372549,0.85,22.65625,0.675,safe
2,2.745098,72,34.375,99.21875,32,1086,11,56.0,34.0,2.745098,0.88,32.8125,0.67,safe
2,2.745098,73,26.5625,99.21875,39,833,5,-55.0,34.0,3.5294117999999997,0.9,16.40625,0.675,safe
2,5.8823529,73,-1.5625,-38.28125,61,1059,5,-47.5,34.0,11.764706,0.105,28.90625,0.685,safe
2,12.941175999999999,74,0.0,96.09375,25,1366,11,-50.0,33.0,12.54902,0.895,-7.03125,0.685,safe
2,11.764706,74,10.15625,-13.28125,68,1643,17,-41.0,34.0,12.54902,0.115,30.46875,0.69,safe
2,14.901960999999998,74,14.0625,85.15625,39,1907,22,-50.5,33.0,9.019607800000001,0.895,-0.78125,0.685,safe
2,8.627450999999999,74,-5.46875,56.25,55,1486,23,-35.5,34.0,9.019607800000001,0.81,-3.125,0.69,safe
2,8.627450999999999,75,-17.96875,98.4375,43,1652,26,-26.0,34.0,6.6666667,0.865,9.375,0.69,safe
2,6.6666667,75,-5.46875,94.53125,28,1649,26,-52.5,33.0,5.0980392,0.065,3.125,0.69,safe
2,4.7058824,75,26.5625,99.21875,32,1438,22,61.0,34.0,5.4901960999999995,0.885,16.40625,0.69,safe
2,4.7058824,75,8.59375,99.21875,33,1273,19,-57.0,34.0,3.9215686,0.82,13.28125,0.7,safe
2,2.745098,76,10.9375,99.21875,30,1065,16,57.5,34.0,1.9607843,0.07,25.0,0.7,safe
2,1.9607843,76,32.03125,99.21875,38,830,14,45.5,34.0,3.1372549,0.76,8.59375,0.7,safe
2,4.7058824,76,14.0625,93.75,49,1100,11,-43.5,34.0,10.588235000000001,0.31,0.0,0.71,safe
2,9.8039216,76,7.8125,-5.46875,72,1232,13,-44.0,34.0,8.627450999999999,0.205,39.84375,0.715,safe
2,7.8431372999999995,77,24.21875,69.53125,55,1259,13,-48.0,34.0,12.156863000000001,0.725,6.25,0.725,safe
2,10.980392,77,25.0,-19.53125,61,1462,15,-35.0,34.0,5.8823529,0.88,5.46875,0.725,safe
2,4.7058824,77,-0.78125,99.21875,34,1165,12,-55.0,33.0,3.5294117999999997,0.155,-4.6875,0.73,safe
2,2.745098,77,3.90625,82.8125,46,839,9,-53.0,34.0,9.411764699999999,0.785,-5.46875,0.74,safe
2,8.627450999999999,78,15.625,11.71875,56,1443,15,-32.5,34.0,7.8431372999999995,0.905,15.625,0.745,safe
2,7.8431372999999995,78,0.0,98.4375,37,1764,18,-47.5,34.0,5.0980392,0.935,-0.78125,0.745,safe
