Fuel status,Engine Load(%),Coolant temp(C),B1 STFT(%),B1 LTFT(%),Abs Intake MAP(kpa),Engine RPM(rpm),Vehicle speed(km/h),Timing advance,Intake air temp(C),Abs throttle pos(%),O2 B1S1 sensor voltage(V),STFT1,O2 B1S2 sensor voltage(V),beahavior
2,7.8431372999999995,58.0,-1.5625,30.46875,64.0,1018.0,3.0,-59.5,36.0,7.450980400000001,0.155,9.375,0.055,safe
2,6.6666667,59.0,18.75,46.875,57.0,1133.0,1.0,-49.5,36.0,8.627450999999999,0.81,10.9375,0.0,safe
2,8.627450999999999,59.0,-3.90625,35.15625,62.0,1146.0,3.0,-60.5,36.0,7.8431372999999995,0.755,-0.78125,0.005,safe
2,7.8431372999999995,59.0,2.34375,42.1875,60.0,1023.0,2.0,-55.0,36.0,7.8431372999999995,0.1,10.9375,0.0,safe
2,6.6666667,60.0,-1.5625,44.53125,59.0,1030.0,3.0,-56.0,36.0,7.0588235,0.145,16.40625,0.0,safe
2,6.6666667,61.0,8.59375,15.625,87.0,1337.0,2.0,-41.0,36.0,3.9215686,0.855,-3.125,0.15,safe
2,4.7058824,62.0,0.0,53.90625,51.0,954.0,5.0,-49.5,35.0,9.019607800000001,0.95,8.59375,0.18,safe
2,6.6666667,62.0,15.625,42.96875,75.0,1210.0,7.0,-38.5,36.0,12.54902,0.07,16.40625,0.155,safe
2,15.686275,62.0,17.1875,31.25,44.0,1409.0,10.0,-38.0,35.0,10.588235000000001,0.955,17.1875,0.18,safe
2,9.8039216,63.0,2.34375,10.9375,68.0,1354.0,14.0,-38.0,36.0,10.588235000000001,0.885,18.75,0.175,safe
2,9.8039216,63.0,14.84375,38.28125,53.0,1530.0,16.0,-32.0,36.0,10.196078,0.75,0.0,0.18,safe
2,9.8039216,63.0,19.53125,35.9375,48.0,1495.0,16.0,-50.0,36.0,7.0588235,0.08,13.28125,0.18,safe
2,5.8823529,64.0,9.375,43.75,42.0,1169.0,12.0,-58.5,35.0,5.4901960999999995,0.81,3.90625,0.185,safe
2,4.7058824,64.0,14.84375,33.59375,59.0,843.0,9.0,-44.5,36.0,8.627450999999999,0.28,-7.8125,0.21,safe
2,7.8431372999999995,64.0,19.53125,26.5625,61.0,1265.0,14.0,-37.5,36.0,10.196078,0.125,8.59375,0.205,safe
2,11.764706,65.0,17.1875,20.3125,65.0,1521.0,16.0,-35.5,36.0,10.980392,0.89,17.96875,0.215,safe
2,11.764706,65.0,8.59375,31.25,55.0,1722.0,18.0,-32.0,36.0,10.196078,0.245,3.90625,0.215,safe
2,7.8431372999999995,65.0,14.0625,21.09375,40.0,1477.0,15.0,-51.0,36.0,7.0588235,0.86,10.9375,0.225,safe
2,6.6666667,66.0,3.125,44.53125,59.0,1345.0,14.0,-38.0,36.0,12.156863000000001,0.07,3.125,0.23,safe
2,10.980392,66.0,16.40625,44.53125,58.0,1570.0,16.0,-34.5,36.0,10.980392,0.135,15.625,0.235,safe
2,10.980392,67.0,0.0,33.59375,54.0,1654.0,18.0,-32.5,36.0,10.588235000000001,0.73,6.25,0.24,safe
2,9.8039216,67.0,32.8125,23.4375,47.0,1710.0,18.0,-30.0,36.0,9.411764699999999,0.685,10.15625,0.25,safe
2,8.627450999999999,67.0,23.4375,32.8125,45.0,1451.0,15.0,52.5,36.0,8.235294099999999,0.07,13.28125,0.255,safe
2,9.8039216,68.0,6.25,28.90625,74.0,1375.0,15.0,-37.5,36.0,10.980392,0.55,25.78125,0.27,safe
2,11.764706,68.0,3.90625,39.0625,59.0,1696.0,18.0,-33.0,36.0,12.156863000000001,0.835,14.0625,0.28,safe
2,12.941175999999999,68.0,30.46875,13.28125,57.0,1882.0,20.0,-29.5,36.0,11.764706,0.53,27.34375,0.285,safe
2,12.941175999999999,69.0,3.90625,4.6875,54.0,2022.0,21.0,-28.0,36.0,12.156863000000001,0.125,0.78125,0.29,safe
2,12.941175999999999,69.0,5.46875,-2.34375,50.0,2076.0,22.0,-26.5,36.0,11.764706,0.77,2.34375,0.3,safe
4,8.627450999999999,70.0,13.28125,-14.84375,30.0,1903.0,20.0,-21.5,36.0,7.0588235,0.965,12.5,0.32,safe
2,6.6666667,70.0,-4.6875,38.28125,49.0,1178.0,12.0,-53.5,36.0,12.941175999999999,0.93,0.0,0.365,safe
2,13.725489999999999,70.0,4.6875,31.25,72.0,1463.0,15.0,-59.0,36.0,7.450980400000001,0.085,14.0625,0.335,safe
2,5.8823529,71.0,24.21875,42.96875,53.0,1269.0,13.0,-39.5,36.0,10.196078,0.85,0.0,0.36,safe
2,9.8039216,71.0,13.28125,23.4375,64.0,1467.0,15.0,-37.5,36.0,10.588235000000001,0.175,15.625,0.375,safe
2,10.980392,72.0,4.6875,35.9375,58.0,1699.0,18.0,-35.0,36.0,12.54902,0.87,21.875,0.39,safe
2,13.725489999999999,72.0,26.5625,6.25,59.0,1928.0,21.0,-32.5,36.0,13.725489999999999,0.085,21.09375,0.395,safe
2,15.686275,72.0,0.0,-6.25,40.0,1776.0,22.0,-40.0,36.0,12.941175999999999,0.94,3.125,0.425,safe
2,12.941175999999999,73.0,16.40625,10.15625,66.0,1502.0,23.0,-39.0,36.0,11.764706,0.75,7.03125,0.43,safe
2,11.764706,73.0,24.21875,32.8125,61.0,1577.0,25.0,-36.5,36.0,10.980392,0.105,7.03125,0.435,safe
2,9.8039216,74.0,0.0,35.9375,49.0,1629.0,25.0,-32.0,36.0,8.235294099999999,0.86,5.46875,0.45,safe
2,7.8431372999999995,74.0,27.34375,32.03125,44.0,1412.0,22.0,58.0,36.0,6.6666667,0.095,13.28125,0.45,safe
2,5.8823529,74.0,12.5,46.875,50.0,926.0,13.0,-49.5,36.0,6.6666667,0.82,-5.46875,0.455,safe
2,4.7058824,75.0,-16.40625,55.46875,59.0,894.0,9.0,-56.0,37.0,21.960784,0.065,-3.90625,0.465,safe
2,14.901960999999998,75.0,25.0,14.84375,64.0,1532.0,16.0,-38.5,37.0,12.54902,0.095,12.5,0.47,safe
2,12.941175999999999,76.0,13.28125,17.96875,58.0,1843.0,20.0,-35.0,36.0,12.54902,0.775,13.28125,0.48,safe
2,12.941175999999999,76.0,29.6875,7.8125,54.0,1986.0,21.0,-30.0,36.0,10.588235000000001,0.89,14.0625,0.485,safe
2,8.627450999999999,76.0,15.625,-12.5,36.0,1944.0,20.0,-19.0,36.0,4.313725499999999,0.915,-0.78125,0.485,safe
2,5.8823529,76.0,-20.3125,42.96875,38.0,1222.0,12.0,-49.5,36.0,5.8823529,0.265,12.5,0.49,safe
2,4.7058824,77.0,0.0,47.65625,57.0,1005.0,7.0,-56.0,37.0,11.372549000000001,0.5,14.0625,0.495,safe
2,5.8823529,77.0,3.125,40.625,74.0,1010.0,10.0,-45.5,37.0,12.941175999999999,0.085,20.3125,0.5,safe
2,11.764706,77.0,21.09375,9.375,64.0,1501.0,16.0,-34.5,37.0,8.627450999999999,0.875,10.9375,0.5,safe
2,6.6666667,77.0,-7.03125,38.28125,40.0,1300.0,13.0,-62.0,36.0,7.0588235,0.87,11.71875,0.505,safe
2,4.7058824,78.0,10.9375,50.0,56.0,896.0,9.0,-53.5,37.0,16.078431,0.11,13.28125,0.51,safe
2,12.941175999999999,78.0,24.21875,35.15625,74.0,1443.0,15.0,-41.0,37.0,12.941175999999999,0.105,28.90625,0.52,safe
2,13.725489999999999,78.0,14.0625,23.4375,60.0,1798.0,19.0,-35.0,37.0,10.980392,0.89,17.96875,0.525,safe
2,7.8431372999999995,79.0,17.96875,-14.0625,36.0,1775.0,19.0,-26.0,36.0,7.450980400000001,0.865,10.9375,0.53,safe
2,6.6666667,79.0,1.5625,21.09375,43.0,1542.0,16.0,-34.5,37.0,8.627450999999999,0.87,0.78125,0.535,safe
2,8.627450999999999,79.0,-2.34375,35.15625,47.0,1407.0,15.0,-55.0,37.0,7.450980400000001,0.215,1.5625,0.54,safe
2,6.6666667,79.0,17.1875,42.1875,54.0,1274.0,13.0,-48.0,37.0,7.450980400000001,0.115,19.53125,0.54,safe
2,5.8823529,80.0,7.8125,48.4375,52.0,968.0,9.0,-50.0,37.0,6.6666667,0.855,10.15625,0.545,safe
2,6.6666667,80.0,8.59375,17.1875,86.0,940.0,9.0,-49.5,37.0,13.333332999999998,0.285,33.59375,0.55,safe
2,10.980392,80.0,15.625,23.4375,63.0,1587.0,17.0,-39.5,37.0,11.764706,0.88,14.84375,0.55,safe
2,11.764706,81.0,21.875,21.875,52.0,1773.0,19.0,-33.5,37.0,10.588235000000001,0.385,26.5625,0.555,safe
2,9.8039216,81.0,1.5625,0.0,41.0,1806.0,19.0,-27.0,37.0,10.196078,0.91,31.25,0.56,safe
2,6.6666667,81.0,10.9375,21.09375,37.0,1449.0,15.0,57.0,37.0,5.8823529,0.08,5.46875,0.56,safe
2,4.7058824,81.0,5.46875,33.59375,47.0,1037.0,11.0,-42.5,37.0,7.0588235,0.865,13.28125,0.565,safe
2,5.8823529,81.0,0.78125,49.21875,56.0,992.0,8.0,-57.0,37.0,6.6666667,0.145,10.9375,0.57,safe
2,7.8431372999999995,81.0,0.0,39.0625,72.0,882.0,9.0,-48.5,37.0,10.980392,0.08,10.15625,0.57,safe
2,10.980392,82.0,21.875,8.59375,66.0,1396.0,15.0,-38.0,37.0,9.019607800000001,0.88,17.96875,0.575,safe
2,7.8431372999999995,82.0,-0.78125,35.9375,46.0,1424.0,15.0,-61.5,37.0,5.8823529,0.745,5.46875,0.58,safe
2,5.8823529,82.0,18.75,39.0625,47.0,1048.0,10.0,-51.0,37.0,5.8823529,0.22,8.59375,0.58,safe
2,5.8823529,81.0,3.125,40.625,61.0,982.0,7.0,-57.0,37.0,7.450980400000001,0.1,5.46875,0.585,safe
2,6.6666667,81.0,14.0625,43.75,60.0,1023.0,3.0,-58.0,37.0,7.450980400000001,0.115,14.0625,0.59,safe
2,5.8823529,80.0,14.84375,17.96875,69.0,1351.0,7.0,-39.0,39.0,7.8431372999999995,0.875,24.21875,0.64,safe
2,7.8431372999999995,80.0,25.0,32.03125,70.0,952.0,10.0,-47.0,39.0,8.235294099999999,0.075,27.34375,0.645,safe
2,9.8039216,80.0,22.65625,40.625,76.0,1241.0,13.0,-44.0,39.0,13.333332999999998,0.62,33.59375,0.645,safe
2,13.725489999999999,80.0,11.71875,26.5625,75.0,1723.0,18.0,-38.0,39.0,15.294118,0.825,17.96875,0.65,safe
2,17.647059,79.0,31.25,-1.5625,70.0,2246.0,23.0,-34.5,39.0,12.156863000000001,0.845,0.0,0.65,safe
4,6.6666667,79.0,7.03125,33.59375,80.0,1626.0,25.0,-40.5,39.0,14.901960999999998,0.865,27.34375,0.655,safe
2,16.862745,79.0,17.96875,14.0625,73.0,1855.0,30.0,-38.0,39.0,14.509804,0.505,3.125,0.655,safe
2,16.862745,79.0,17.1875,-8.59375,67.0,2053.0,32.0,-35.5,39.0,15.294118,0.815,13.28125,0.655,safe
2,17.647059,79.0,32.03125,-17.1875,64.0,2226.0,34.0,-33.5,39.0,14.117647,0.865,29.6875,0.655,safe
2,9.8039216,79.0,0.0,-13.28125,45.0,2225.0,34.0,-30.0,39.0,15.294118,0.205,14.84375,0.655,safe
2,17.647059,79.0,31.25,-15.625,63.0,2340.0,37.0,-33.5,39.0,16.862745,0.81,25.0,0.655,safe
2,20.0,79.0,15.625,-61.71875,25.0,1860.0,38.0,-57.5,39.0,12.54902,0.21,-17.96875,0.665,safe
2,12.941175999999999,79.0,21.09375,18.75,59.0,1823.0,38.0,-36.5,39.0,12.941175999999999,0.11,21.875,0.66,safe
2,13.725489999999999,79.0,8.59375,13.28125,59.0,1867.0,39.0,-35.5,39.0,12.54902,0.835,10.15625,0.67,safe
2,13.725489999999999,80.0,21.875,10.15625,57.0,1913.0,39.0,-33.5,39.0,12.156863000000001,0.855,17.1875,0.665,safe
2,12.941175999999999,80.0,10.15625,10.9375,52.0,1933.0,40.0,-31.5,39.0,11.372549000000001,0.52,18.75,0.67,safe
2,11.764706,80.0,-5.46875,10.15625,53.0,1935.0,40.0,-31.5,39.0,11.372549000000001,0.745,-5.46875,0.67,safe
2,11.764706,80.0,11.71875,10.15625,50.0,1932.0,40.0,-31.5,39.0,10.588235000000001,0.85,10.9375,0.67,safe
2,10.980392,80.0,3.90625,7.03125,44.0,1915.0,39.0,-28.0,39.0,9.411764699999999,0.27,14.0625,0.67,safe
2,9.8039216,80.0,0.0,14.0625,51.0,1872.0,39.0,-32.5,39.0,11.372549000000001,0.18,-0.78125,0.675,safe
2,11.764706,80.0,7.8125,14.0625,55.0,1884.0,39.0,-33.0,39.0,12.156863000000001,0.805,6.25,0.68,safe
2,11.764706,80.0,22.65625,12.5,56.0,1893.0,39.0,-34.0,39.0,12.54902,0.15,22.65625,0.685,safe
2,12.941175999999999,80.0,2.34375,11.71875,57.0,1891.0,39.0,-34.0,39.0,12.54902,0.725,3.125,0.69,safe
2,11.764706,81.0,7.8125,12.5,54.0,1883.0,39.0,-34.5,39.0,12.941175999999999,0.7,6.25,0.695,safe
2,13.725489999999999,81.0,18.75,8.59375,59.0,1907.0,39.0,-35.0,39.0,12.54902,0.84,18.75,0.7,safe
2,13.725489999999999,81.0,10.9375,8.59375,56.0,1928.0,40.0,-33.0,39.0,12.156863000000001,0.145,3.90625,0.705,safe
2,12.941175999999999,81.0,10.15625,8.59375,55.0,1936.0,40.0,-33.0,39.0,11.764706,0.835,7.03125,0.705,safe
2,11.764706,81.0,10.15625,10.9375,52.0,1923.0,40.0,-31.5,39.0,11.372549000000001,0.13,13.28125,0.71,safe
2,11.764706,81.0,-6.25,12.5,52.0,1912.0,39.0,-31.5,39.0,11.372549000000001,0.345,-4.6875,0.71,safe
