Engine Load(%),Engine RPM(rpm),Intake air temp(C),Abs throttle position(%),O2 B1S2 sensor voltage(V),beahavior
3.9215686,865,36.0,4.313725499999999,0.0,safe
3.9215686,877,37.0,4.313725499999999,0.0,safe
3.9215686,876,36.0,4.7058824,0.0,safe
3.9215686,880,37.0,3.9215686,0.0,safe
3.9215686,868,37.0,4.313725499999999,0.0,safe
3.9215686,886,36.0,4.313725499999999,0.0,safe
3.9215686,879,37.0,4.313725499999999,0.0,safe
3.9215686,874,37.0,4.313725499999999,0.0,safe
3.9215686,881,37.0,4.313725499999999,0.0,safe
3.9215686,874,37.0,4.7058824,0.0,safe
3.9215686,882,37.0,4.313725499999999,0.0,safe
3.9215686,875,37.0,4.313725499999999,0.0,safe
3.9215686,876,37.0,4.313725499999999,0.0,safe
3.9215686,852,37.0,4.313725499999999,0.0,safe
3.9215686,879,37.0,4.313725499999999,0.0,safe
3.9215686,875,37.0,4.313725499999999,0.0,safe
3.9215686,879,37.0,6.6666667,0.0,safe
4.7058824,924,37.0,6.2745098,0.0,safe
5.8823529,977,37.0,6.6666667,0.075,safe
5.8823529,1008,37.0,6.6666667,0.125,safe
5.8823529,1001,37.0,6.6666667,0.15,safe
5.8823529,1007,37.0,6.6666667,0.0,safe
5.8823529,1002,37.0,6.6666667,0.0,safe
5.8823529,1004,37.0,6.6666667,0.0,safe
5.8823529,1000,37.0,6.6666667,0.0,safe
5.8823529,998,37.0,6.6666667,0.0,safe
5.8823529,1001,37.0,6.6666667,0.0,safe
5.8823529,1008,37.0,6.6666667,0.0,safe
5.8823529,991,37.0,7.450980400000001,0.0,safe
6.6666667,914,37.0,12.156863000000001,0.0,safe
9.8039216,1195,37.0,9.411764699999999,0.03,safe
6.6666667,902,37.0,7.8431372999999995,0.085,safe
6.6666667,970,37.0,7.8431372999999995,0.115,safe
6.6666667,993,37.0,7.8431372999999995,0.14,safe
6.6666667,1018,37.0,7.450980400000001,0.075,safe
6.6666667,1025,37.0,7.450980400000001,0.035,safe
6.6666667,1016,37.0,7.450980400000001,0.0,safe
6.6666667,1036,37.0,7.0588235,0.0,safe
6.6666667,1015,37.0,7.0588235,0.0,safe
6.6666667,993,37.0,7.450980400000001,0.0,safe
6.6666667,998,37.0,7.0588235,0.0,safe
8.627450999999999,1121,37.0,9.019607800000001,0.0,safe
7.8431372999999995,918,37.0,5.8823529,0.0,safe
5.8823529,1051,37.0,5.8823529,0.0,safe
7.8431372999999995,1035,37.0,6.6666667,0.14,safe
8.627450999999999,934,37.0,13.333332999999998,0.27,safe
10.980392,1399,37.0,12.156863000000001,0.245,safe
12.941175999999999,1751,37.0,8.235294099999999,0.24,safe
6.6666667,1222,37.0,14.901960999999998,0.285,safe
10.980392,1078,37.0,12.54902,0.26,safe
