Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),Intake air temp(C),Abs throttle position(%),beahavior
4.7058824,895,1,30.0,5.8823529,safe
4.7058824,919,1,30.0,5.8823529,safe
4.7058824,925,1,30.0,5.0980392,safe
4.7058824,920,1,30.0,5.0980392,safe
5.8823529,1166,1,30.0,5.8823529,safe
4.7058824,960,1,30.0,5.4901960999999995,safe
4.7058824,904,3,30.0,5.4901960999999995,safe
4.7058824,894,1,30.0,5.4901960999999995,safe
4.7058824,915,1,30.0,5.0980392,safe
3.9215686,923,1,30.0,4.7058824,safe
4.7058824,1108,3,31.0,5.0980392,safe
3.9215686,964,3,31.0,5.0980392,safe
3.9215686,887,2,31.0,4.7058824,safe
3.9215686,887,2,31.0,4.7058824,safe
3.9215686,879,3,31.0,4.7058824,safe
3.9215686,877,2,31.0,4.313725499999999,safe
3.9215686,868,2,31.0,4.7058824,safe
3.9215686,877,1,31.0,4.7058824,safe
3.9215686,891,1,31.0,4.7058824,safe
8.627450999999999,1301,1,31.0,5.8823529,safe
4.7058824,976,2,31.0,5.0980392,safe
3.9215686,917,1,31.0,4.7058824,safe
3.9215686,886,1,31.0,5.4901960999999995,safe
3.9215686,829,3,31.0,5.8823529,safe
4.7058824,880,5,31.0,8.235294099999999,safe
8.627450999999999,1358,8,31.0,10.196078,safe
7.8431372999999995,1652,10,31.0,7.0588235,safe
4.7058824,1241,11,31.0,5.8823529,safe
4.7058824,1179,12,31.0,6.6666667,safe
5.8823529,1275,13,31.0,6.2745098,safe
5.8823529,1409,15,31.0,5.8823529,safe
4.7058824,1396,14,31.0,5.0980392,safe
3.9215686,1308,14,31.0,5.0980392,safe
3.9215686,1232,13,31.0,4.7058824,safe
3.9215686,1146,12,31.0,4.7058824,safe
3.9215686,1085,11,31.0,4.7058824,safe
2.745098,1021,10,31.0,4.313725499999999,safe
2.745098,985,10,31.0,3.9215686,safe
2.745098,942,10,31.0,3.5294117999999997,safe
2.745098,806,8,31.0,3.9215686,safe
2.745098,835,4,31.0,6.2745098,safe
9.8039216,1422,2,31.0,13.333332999999998,safe
13.725489999999999,1505,8,31.0,6.6666667,safe
5.8823529,1642,11,31.0,7.8431372999999995,safe
9.8039216,1299,13,31.0,16.470588,safe
15.686275,1574,17,31.0,14.509804,safe
16.862745,1928,20,31.0,14.509804,safe
14.901960999999998,2016,23,31.0,5.0980392,safe
7.8431372999999995,1496,23,31.0,9.411764699999999,safe
8.627450999999999,1526,24,31.0,9.8039216,safe
8.627450999999999,1557,24,31.0,8.627450999999999,safe
7.8431372999999995,1531,24,31.0,7.8431372999999995,safe
6.6666667,1391,21,31.0,7.450980400000001,safe
5.8823529,1282,20,31.0,8.235294099999999,safe
6.6666667,1335,21,31.0,7.8431372999999995,safe
6.6666667,1307,20,31.0,7.8431372999999995,safe
6.6666667,1267,19,31.0,7.8431372999999995,safe
6.6666667,1262,19,31.0,7.8431372999999995,safe
6.6666667,1212,19,31.0,6.6666667,safe
5.8823529,1080,16,31.0,7.0588235,safe
5.8823529,970,12,31.0,6.6666667,safe
5.8823529,979,7,31.0,7.0588235,safe
5.8823529,988,4,31.0,7.0588235,safe
5.8823529,999,3,31.0,7.0588235,safe
5.8823529,1004,1,31.0,7.450980400000001,safe
10.980392,913,5,31.0,16.862745,safe
16.862745,1746,10,31.0,16.078431,safe
13.725489999999999,1950,12,31.0,8.627450999999999,safe
11.764706,1308,13,31.0,20.784314000000002,safe
17.647059,1538,17,31.0,20.392157,safe
21.960784,1907,20,31.0,19.215685999999998,safe
21.960784,2221,24,31.0,19.215685999999998,safe
18.823529,2223,26,31.0,8.627450999999999,safe
12.941175999999999,1656,25,31.0,18.823529,safe
18.823529,1781,28,31.0,18.039216,safe
20.0,1930,30,31.0,17.647059,safe
20.0,2045,32,31.0,17.254901999999998,safe
20.0,2181,34,31.0,17.647059,safe
20.784314000000002,2283,36,31.0,17.647059,safe
