Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),O2 B1S1 sensor voltage(V),O2 B1S2 sensor voltage(V),beahavior
3.9215686,864,2.0,0.785,0.385,safe
3.9215686,826,4.0,0.88,0.405,safe
4.7058824,921,5.0,0.085,0.395,safe
7.8431372999999995,1049,6.0,0.9,0.44,safe
7.8431372999999995,1235,7.0,0.065,0.0,safe
8.627450999999999,1508,8.0,0.085,0.0,safe
8.627450999999999,1670,9.0,0.105,0.15,safe
6.6666667,1288,9.0,0.97,0.04,safe
4.7058824,949,9.0,0.945,0.485,safe
4.7058824,985,10.0,0.86,0.45,safe
4.7058824,1018,10.0,0.125,0.435,safe
3.9215686,975,10.0,0.92,0.445,safe
2.745098,853,9.0,0.745,0.44,safe
2.745098,860,7.0,0.14,0.43,safe
2.745098,882,4.0,0.845,0.44,safe
3.9215686,870,3.0,0.1,0.43,safe
3.9215686,896,2.0,0.105,0.43,safe
3.9215686,900,2.0,0.865,0.43,safe
3.9215686,740,3.0,0.11,0.425,safe
6.6666667,825,4.0,0.93,0.505,safe
9.8039216,1039,6.0,0.205,0.485,safe
10.980392,1396,8.0,0.1,0.375,safe
9.8039216,1770,10.0,0.335,0.235,safe
3.9215686,1338,11.0,0.075,0.0,safe
5.8823529,1106,12.0,0.925,0.29,safe
7.8431372999999995,1260,14.0,0.32,0.315,safe
11.764706,1550,17.0,0.07,0.175,safe
12.941175999999999,1782,19.0,0.085,0.0,safe
11.764706,1976,21.0,0.83,0.0,safe
7.8431372999999995,1737,21.0,0.055,0.0,safe
6.6666667,1339,21.0,0.93,0.23,safe
6.6666667,1376,21.0,0.085,0.38,safe
6.6666667,1385,21.0,0.845,0.42,safe
7.8431372999999995,1426,23.0,0.105,0.425,safe
7.8431372999999995,1444,23.0,0.795,0.445,safe
7.8431372999999995,1480,23.0,0.82,0.45,safe
9.8039216,1530,24.0,0.075,0.445,safe
8.627450999999999,1581,25.0,0.87,0.45,safe
8.627450999999999,1634,25.0,0.28,0.45,safe
7.8431372999999995,1629,26.0,0.855,0.455,safe
7.8431372999999995,1634,26.0,0.885,0.47,safe
6.6666667,1645,25.0,0.455,0.465,safe
5.8823529,1607,25.0,0.08,0.455,safe
5.8823529,1550,24.0,0.94,0.48,safe
4.7058824,1474,23.0,0.86,0.465,safe
4.7058824,1354,21.0,0.065,0.48,safe
3.9215686,1273,19.0,0.825,0.47,safe
8.627450999999999,1221,19.0,0.955,0.525,safe
12.941175999999999,1337,21.0,0.89,0.51,safe
12.941175999999999,1462,23.0,0.09,0.48,safe
10.980392,1543,24.0,0.09,0.465,safe
8.627450999999999,1568,24.0,0.92,0.485,safe
8.627450999999999,1587,24.0,0.915,0.505,safe
10.980392,1635,26.0,0.1,0.495,safe
9.8039216,1676,26.0,0.89,0.5,safe
9.8039216,1714,26.0,0.725,0.5,safe
8.627450999999999,1726,27.0,0.155,0.5,safe
8.627450999999999,1743,27.0,0.87,0.51,safe
8.627450999999999,1728,27.0,0.085,0.505,safe
6.6666667,1741,27.0,0.81,0.51,safe
6.6666667,1713,26.0,0.845,0.5,safe
5.8823529,1736,27.0,0.11,0.475,safe
2.745098,1596,24.0,0.94,0.495,safe
4.7058824,1529,24.0,0.255,0.5,safe
3.9215686,1391,22.0,0.07,0.52,safe
3.9215686,1279,19.0,0.55,0.515,safe
3.9215686,1162,18.0,0.9,0.535,safe
2.745098,1057,16.0,0.96,0.59,safe
4.7058824,939,14.0,0.895,0.615,safe
4.7058824,1067,16.0,0.42,0.595,safe
4.7058824,1071,16.0,0.915,0.595,safe
3.9215686,1022,16.0,0.865,0.585,safe
2.745098,928,14.0,0.11,0.57,safe
1.9607843,831,12.0,0.23,0.565,safe
2.745098,797,10.0,0.94,0.61,safe
2.745098,871,8.0,0.87,0.615,safe
2.745098,869,6.0,0.4,0.61,safe
3.9215686,870,3.0,0.1,0.61,safe
