Engine Load(%),Engine RPM(rpm),Vehicle speed(km/h),O2 B1S1 sensor voltage(V),O2 B1S2 sensor voltage(V),beahavior
6.6666667,981,1,0.355,0.01,safe
9.8039216,1104,1,0.27,0.13,safe
8.627450999999999,1045,1,0.7,0.125,safe
7.8431372999999995,1041,1,0.065,0.095,safe
7.8431372999999995,1040,1,0.83,0.095,safe
6.6666667,1041,1,0.08,0.06,safe
6.6666667,1020,1,0.775,0.075,safe
7.8431372999999995,1029,2,0.535,0.14,safe
6.6666667,987,3,0.345,0.13,safe
6.6666667,1020,2,0.075,0.12,safe
6.6666667,1012,2,0.68,0.115,safe
6.6666667,1003,1,0.075,0.08,safe
5.8823529,955,1,0.91,0.115,safe
6.6666667,998,1,0.07,0.135,safe
7.8431372999999995,953,3,0.88,0.145,safe
8.627450999999999,1069,4,0.07,0.135,safe
6.6666667,1202,3,0.94,0.155,safe
6.6666667,1458,2,0.965,0.16,safe
7.8431372999999995,1145,3,0.16,0.145,safe
6.6666667,1044,2,0.9,0.14,safe
6.6666667,1013,2,0.155,0.14,safe
6.6666667,1033,1,0.9,0.14,safe
7.8431372999999995,1051,1,0.11,0.14,safe
7.8431372999999995,1051,2,0.785,0.14,safe
7.8431372999999995,1032,3,0.84,0.145,safe
6.6666667,1001,2,0.105,0.145,safe
7.8431372999999995,1049,2,0.69,0.145,safe
7.8431372999999995,1059,2,0.38,0.145,safe
6.6666667,1024,1,0.085,0.155,safe
10.980392,1222,1,0.09,0.16,safe
5.8823529,729,4,0.09,0.165,safe
6.6666667,981,5,0.06,0.16,safe
9.8039216,1142,6,0.785,0.165,safe
8.627450999999999,1379,7,0.08,0.125,safe
9.8039216,1557,8,0.86,0.165,safe
7.8431372999999995,1502,8,0.9,0.165,safe
5.8823529,1197,8,0.88,0.18,safe
4.7058824,806,9,0.96,0.195,safe
4.7058824,965,8,0.845,0.19,safe
5.8823529,923,6,0.34,0.195,safe
5.8823529,968,5,0.09,0.19,safe
6.6666667,1006,5,0.14,0.195,safe
6.6666667,1007,3,0.095,0.2,safe
6.6666667,1006,1,0.705,0.2,safe
